rank,package_name,version,declared_license,root_classification,total_dependencies,is_tainted,conflicting_copyleft_deps_count,conflicts_summary
5385,contao/manager-bundle,6.0.0,LGPL-3.0-or-later,STRONG_COPYLEFT,179,NO,9,contao/core-bundle (LGPL-3.0-or-later); contao-components/installer (LGPL-3.0-or-later); contao-components/contao (LGPL-3.0-or-later); contao-components/tablesort (LGPL-3.0-or-later); contao-components/tinymce (LGPL-2.1-or-later); contao/image (LGPL-3.0-or-later); contao/imagine-svg (LGPL-3.0-or-later); enshrined/svg-sanitize (GPL-2.0-or-later); contao/manager-plugin (LGPL-3.0-or-later)
5386,mailerlite/mailerlite-api-v2-php-sdk,0.3.2,MIT,PERMISSIVE,13,NO,0,
5387,newdebugbar/newdebugbar,unknown,Unspecified,PERMISSIVE,0,NO,0,
5388,spryker/scheduler,1.8.0,proprietary,PERMISSIVE,22,NO,0,
5389,fuel/orm,1.8.2,MIT,PERMISSIVE,1,NO,0,
5390,dragon-code/laravel-deploy-operations,7.3.0,MIT,PERMISSIVE,78,NO,0,
5391,civicrm/composer-downloads-plugin,v4.0.0,MIT,PERMISSIVE,1,NO,0,
5392,pocketmine/math,1.0.0,LGPL-3.0,STRONG_COPYLEFT,0,NO,0,
5393,yedincisenol/dynamic-links,v2.0.1,MIT,PERMISSIVE,8,NO,0,
5394,sendpulse/rest-api,3.0.1,MIT,PERMISSIVE,0,NO,0,
5395,awcodes/filament-table-repeater,v3.1.5,MIT,PERMISSIVE,17,NO,0,
5396,spryker/availability-cart-connector-extension,1.0.0,proprietary,PERMISSIVE,0,NO,0,
5397,limenius/liform-bundle,2.1,MIT,PERMISSIVE,25,NO,0,
5398,spryker/category-page-search,2.7.0,proprietary,PERMISSIVE,49,NO,0,
5399,spryker/propel-query-builder,0.3.6,proprietary,PERMISSIVE,27,NO,0,
5400,laravel-workflow/waterline,1.0.18,Unspecified,PERMISSIVE,18,NO,0,
5401,spryker/security-blocker-extension,1.0.0,proprietary,PERMISSIVE,0,NO,0,
5402,loupe/loupe,1.0.3,MIT,PERMISSIVE,14,YES,1,joomla/string (GPL-2.0-or-later)
5403,anahkiasen/underscore-php,2.0.0,MIT,PERMISSIVE,2,NO,0,
5404,sereny/nova-permissions,v1.7.0,MIT,PERMISSIVE,20,NO,0,
5405,spryker/agent,1.10.1,proprietary,PERMISSIVE,68,NO,0,
5406,ecodev/graphql-upload,8.0.1,MIT,PERMISSIVE,6,NO,0,
5407,creof/doctrine2-spatial,1.2.0,MIT,PERMISSIVE,23,NO,0,
5408,qase/php-commons,2.1.21,Apache-2.0,PERMISSIVE,12,NO,0,
5409,fuel/parser,1.8.2,MIT,PERMISSIVE,1,NO,0,
5410,dingo/blueprint,v0.5.0,BSD-3-Clause,PERMISSIVE,28,NO,0,
5411,topthink/think-template,v3.0.2,Apache-2.0,PERMISSIVE,1,NO,0,
5412,spryker/product-search-config-storage,1.7.0,proprietary,PERMISSIVE,50,NO,0,
5413,zenstruck/schedule-bundle,v1.9.0,MIT,PERMISSIVE,22,NO,0,
5414,open-telemetry/opentelemetry-auto-aws-sdk,0.4.0,Apache-2.0,PERMISSIVE,19,NO,0,
5415,spryker/oauth-revoke-extension,1.0.0,proprietary,PERMISSIVE,0,NO,0,
5416,spryker/assertion,3.0.1,proprietary,PERMISSIVE,27,NO,0,
5417,mmaher/address-string-parser,v1.1.1,MIT,PERMISSIVE,0,NO,0,
5418,spryker/scheduler-extension,1.0.0,proprietary,PERMISSIVE,0,NO,0,
5419,jolicode/elastically,v2.2.0,MIT,PERMISSIVE,25,NO,0,
5420,spryker/installer-extension,1.0.0,proprietary,PERMISSIVE,0,NO,0,
5421,wp-media/rocket-lazyload-common,v3.0.18,GPL-3.0-or-later,STRONG_COPYLEFT,1,NO,1,wp-media/apply-filters-typed (GPL-3.0-or-later)
5422,spryker/price-cart-connector-extension,1.1.0,proprietary,PERMISSIVE,0,NO,0,
5423,swarrot/swarrot-bundle,v2.8.0,MIT,PERMISSIVE,25,NO,0,
5424,spryker/development,3.54.0,proprietary,PERMISSIVE,48,NO,0,
5425,oat-sa/lib-lti1p3-core,7.3.2,GPL-2.0-only,STRONG_COPYLEFT,35,NO,0,
5426,yectep/phpspreadsheet-bundle,v1.2.0,MIT,PERMISSIVE,29,NO,0,
5427,esendex/sdk,v3.0.0,BSD-3-Clause,PERMISSIVE,0,NO,0,
5428,roave/infection-static-analysis-plugin,1.44.0,MIT,PERMISSIVE,53,YES,1,netresearch/jsonmapper (OSL-3.0)
5429,spryker/customer-group,2.11.0,proprietary,PERMISSIVE,57,NO,0,
5430,cache/void-adapter,3.0.0,MIT,PERMISSIVE,6,NO,0,
5431,inspector-apm/neuron-ai,3.16.6,MIT,PERMISSIVE,9,NO,0,
5432,spryker/product-quantity-storage,3.7.0,proprietary,PERMISSIVE,52,NO,0,
5433,aura/router,3.4.2,MIT,PERMISSIVE,2,NO,0,
5434,spryker/category-data-import,0.4.0,proprietary,PERMISSIVE,38,NO,0,
5435,spryker-shop/session-agent-validation-extension,1.0.0,proprietary,PERMISSIVE,0,NO,0,
5436,thiagocfn/inscricaoestadual,1.1.2,MIT,PERMISSIVE,0,NO,0,
5437,netcarver/textile,v4.1.5,BSD-3-Clause,PERMISSIVE,0,NO,0,
5438,nategood/commando,1.0.0,MIT,PERMISSIVE,1,NO,0,
5439,spryker/health-check,1.1.1,proprietary,PERMISSIVE,53,NO,0,
5440,limenius/liform,2.1,MIT,PERMISSIVE,18,NO,0,
5441,google/cloud-recommendations-ai,v0.10.0,Apache-2.0,PERMISSIVE,18,NO,0,
5442,lucianotonet/groq-php,v1.4.2,MIT,PERMISSIVE,13,NO,0,
5443,unified/unified-to,v1.6.114,MIT,PERMISSIVE,19,NO,0,
5444,bear/query-repository,1.16.2,MIT,PERMISSIVE,28,NO,0,
5445,keepsuit/liquid,v0.11.0,MIT,PERMISSIVE,1,NO,0,
5446,spryker/security-system-user,1.2.0,proprietary,PERMISSIVE,46,NO,0,
5447,zendframework/zend-session,2.9.1,BSD-3-Clause,PERMISSIVE,2,NO,0,
5448,socialiteproviders/zoho,4.1.0,MIT,PERMISSIVE,17,NO,0,
5449,spryker/dashboard,1.4.0,proprietary,PERMISSIVE,25,NO,0,
