rank,package_name,version,declared_license,offender_package,offender_version,offender_license,copyleft_type,trace_path
8345,yiithings/yii2-dotenv,1.1.0,MIT,ezyang/htmlpurifier,v4.19.0,LGPL-2.1-or-later,WEAK_COPYLEFT,yiithings/yii2-dotenv@1.1.0 (MIT) -> yiisoft/yii2@2.0.55 (BSD-3-Clause) -> ezyang/htmlpurifier@v4.19.0 (LGPL-2.1-or-later)
8357,rias/statamic-redirect,4.2.1,Unspecified,james-heinrich/getid3,v1.9.25,"GPL-1.0-or-later, LGPL-3.0-only",STRONG_COPYLEFT,"rias/statamic-redirect@4.2.1 (None) -> statamic/cms@v6.30.0 (proprietary) -> james-heinrich/getid3@v1.9.25 (GPL-1.0-or-later, LGPL-3.0-only, MPL-2.0)"
8380,liip/serializer-jms-adapter,2.2.3,MIT,pnz/json-exception,v1.0.1,GPL-3.0,STRONG_COPYLEFT,liip/serializer-jms-adapter@2.2.3 (MIT) -> liip/serializer@3.3.0 (MIT) -> pnz/json-exception@v1.0.1 (GPL-3.0)
8388,rawilk/laravel-printing,v4.3.0,MIT,mike42/gfx-php,v1.0,LGPL-2.1-or-later,WEAK_COPYLEFT,rawilk/laravel-printing@v4.3.0 (MIT) -> mike42/escpos-php@v5.0 (MIT) -> mike42/gfx-php@v1.0 (LGPL-2.1-or-later)
8399,alexandernst/yii2-device-detect,0.0.12,GNU General Public License v3,ezyang/htmlpurifier,v4.19.0,LGPL-2.1-or-later,WEAK_COPYLEFT,alexandernst/yii2-device-detect@0.0.12 (GNU General Public License v3) -> yiisoft/yii2@2.0.55 (BSD-3-Clause) -> ezyang/htmlpurifier@v4.19.0 (LGPL-2.1-or-later)
8404,firstred/postnl-api-php,v2.0.15,MIT,paragonie/hidden-string,v2.2.0,MPL-2.0,WEAK_COPYLEFT,firstred/postnl-api-php@v2.0.15 (MIT) -> paragonie/hidden-string@v2.2.0 (MPL-2.0)
8410,contao-components/chosen,2.0.2,MIT,contao-components/installer,1.4.1,LGPL-3.0-or-later,STRONG_COPYLEFT,contao-components/chosen@2.0.2 (MIT) -> contao-components/installer@1.4.1 (LGPL-3.0-or-later)
8427,phalcon/quill,v0.3.0,BSD-3-Clause,pds/composer-script-names,1.0.0,CC-BY-SA-4.0,STRONG_COPYLEFT,phalcon/quill@v0.3.0 (BSD-3-Clause) -> pds/composer-script-names@1.0.0 (CC-BY-SA-4.0)
8427,phalcon/quill,v0.3.0,BSD-3-Clause,pds/skeleton,1.0.0,CC-BY-SA-4.0,STRONG_COPYLEFT,phalcon/quill@v0.3.0 (BSD-3-Clause) -> pds/skeleton@1.0.0 (CC-BY-SA-4.0)
8439,wptrt/wpthemereview,0.2.1,MIT,phpcsstandards/phpcsutils,1.2.3,LGPL-3.0-or-later,STRONG_COPYLEFT,wptrt/wpthemereview@0.2.1 (MIT) -> wp-coding-standards/wpcs@3.4.1 (MIT) -> phpcsstandards/phpcsutils@1.2.3 (LGPL-3.0-or-later)
8439,wptrt/wpthemereview,0.2.1,MIT,phpcsstandards/phpcsextra,1.5.1,LGPL-3.0-or-later,STRONG_COPYLEFT,wptrt/wpthemereview@0.2.1 (MIT) -> wp-coding-standards/wpcs@3.4.1 (MIT) -> phpcsstandards/phpcsextra@1.5.1 (LGPL-3.0-or-later)
8467,kak/clickhouse,1.1.3,MIT,ezyang/htmlpurifier,v4.19.0,LGPL-2.1-or-later,WEAK_COPYLEFT,kak/clickhouse@1.1.3 (MIT) -> yiisoft/yii2@2.0.55 (BSD-3-Clause) -> ezyang/htmlpurifier@v4.19.0 (LGPL-2.1-or-later)
8468,contributte/pdf,v8.0.0,MIT,mpdf/mpdf,v8.3.1,GPL-2.0-only,STRONG_COPYLEFT,contributte/pdf@v8.0.0 (MIT) -> mpdf/mpdf@v8.3.1 (GPL-2.0-only)
8515,wikimedia/shellbox,4.5.2,MIT,wikimedia/base-convert,v2.0.2,GPL-2.0-or-later,STRONG_COPYLEFT,wikimedia/shellbox@4.5.2 (MIT) -> wikimedia/base-convert@v2.0.2 (GPL-2.0-or-later)
